"id","slug","name","summary","excerpt","categories","locations","tags","websiteUrls","profileUrl","lastUpdated"
"organization:1460602-b-c-ltd-dba-justsay-ai","1460602-b-c-ltd-dba-justsay-ai","1460602 B.C. Ltd. dba JustSay AI","JustSay AI is a BC-incorporated entity (1460602 B.C. Ltd.) operating under a JustSay AI brand. Insufficient public sources exist to confirm an active BC organizational AI footprint, product, or service.","JustSay AI is a BC-incorporated entity (1460602 B.C. Ltd.) operating under a JustSay AI brand. Insufficient public sources exist to confirm an active BC organizational AI footpr...","","","","","/bc-ai-directory/organizations/1460602-b-c-ltd-dba-justsay-ai","2026-05-11"
"organization:1qbit","1qbit","1QBit","1QBit is a Vancouver-based quantum software company building tools and services for quantum computing, optimization, and quantum-inspired research workflows. Its public materials describe software aimed at making quantum technologies useful for applied problems and industry experimentation.","1QBit is a Vancouver-based quantum software company building tools and services for quantum computing, optimization, and quantum-inspired research workflows. Its public material...","Applied AI|Optimization|Quantum technology","Vancouver, BC","applied-ai|optimization|quantum-computing|software","https://1qbit.com","/bc-ai-directory/organizations/1qbit","2026-05-08"
"organization:28eme-ca","28eme-ca","28ème.ca","28ème.ca is referenced in BC AI ecosystem sources. No public organizational footprint for this entity — no BC presence, no AI relevance, and no independent coverage has been confirmed.","28ème.ca is referenced in BC AI ecosystem sources. No public organizational footprint for this entity — no BC presence, no AI relevance, and no independent coverage has been con...","","","","","/bc-ai-directory/organizations/28eme-ca","2026-05-11"
"organization:3dentai","3dentai","3DentAI","3DentAI is a Vancouver-based health AI startup building at-home dental diagnostics technology. Its public materials describe a compact oral camera, AI-powered dental image analysis, dentist annotation tools, and telemedicine workflows that help people screen oral health issues earlier.","3DentAI is a Vancouver-based health AI startup building at-home dental diagnostics technology. Its public materials describe a compact oral camera, AI-powered dental image analy...","Computer vision|Dental software|Health AI","Vancouver, BC","computer-vision|dental|health-ai|telemedicine","https://3dentai.ca","/bc-ai-directory/organizations/3dentai","2026-05-08"
"organization:4ag-robotics","4ag-robotics","4AG Robotics","4AG Robotics is a British Columbia robotics company developing autonomous mushroom-harvesting systems that combine robotics, computer vision, and AI-enabled agricultural automation.","4AG Robotics is a British Columbia robotics company developing autonomous mushroom-harvesting systems that combine robotics, computer vision, and AI-enabled agricultural automat...","Agritech|Computer vision|Robotics","British Columbia|Vancouver, BC","agritech|autonomous-robots|computer-vision|food-tech|robotics","https://4ag.ai","/bc-ai-directory/organizations/4ag-robotics","2026-05-08"
"organization:5-tool-sports-group","5-tool-sports-group","5 Tool Sports Group","5 Tool Sports Group (5T Sports Group) is a Certified B Corp focused on sports sustainability, brand partnerships, and fan mobilization for social and environmental good causes, working with sports leagues and teams since 2008. The company is sports marketing and sustainability-focused with no AI products or services identified, and was rejected for the BC AI directory.","5 Tool Sports Group (5T Sports Group) is a Certified B Corp focused on sports sustainability, brand partnerships, and fan mobilization for social and environmental good causes,...","","","","","/bc-ai-directory/organizations/5-tool-sports-group","2026-05-11"
"organization:604-security","604-security","604 Security","604 Security is referenced in BC AI ecosystem sources. No public organizational footprint for a distinct '604 Security' tech company has been found.","604 Security is referenced in BC AI ecosystem sources. No public organizational footprint for a distinct '604 Security' tech company has been found.","","","","","/bc-ai-directory/organizations/604-security","2026-05-11"
"organization:925-labs","925-labs","925 Labs","925 Labs is a Vancouver-based startup founded in 2024 that is building Tora, an AI-powered fitness app that personalizes healthy living through gamified quests and AI coaching companions. The company focuses on software development, AI, and game design, and operates at 925.gg. It is listed in startup databases including F6S.","925 Labs is a Vancouver-based startup founded in 2024 that is building Tora, an AI-powered fitness app that personalizes healthy living through gamified quests and AI coaching c...","Consumer AI|Health & Wellness|Mobile Apps","Vancouver, BC","AI companions|fitness|gamification|mobile app","https://925.gg","/bc-ai-directory/organizations/925-labs","2026-05-10"
"organization:a-k-robotics","a-k-robotics","A&K Robotics","A&K Robotics is a Vancouver robotics company building autonomous mobility and navigation systems for airports and other large indoor environments.","A&K Robotics is a Vancouver robotics company building autonomous mobility and navigation systems for airports and other large indoor environments.","Assistive technology|Autonomous mobility|Robotics","Vancouver, BC","accessibility|airport-automation|autonomous-navigation|mobility|robotics","https://www.aandkrobotics.com","/bc-ai-directory/organizations/a-k-robotics","2026-05-08"
"organization:abcellera","abcellera","AbCellera","AbCellera is a Vancouver biotechnology company using computation, data science, and machine-learning-enabled discovery platforms to develop antibody medicines.","AbCellera is a Vancouver biotechnology company using computation, data science, and machine-learning-enabled discovery platforms to develop antibody medicines.","Biotechnology|Drug discovery|Machine learning","Vancouver, BC","antibodies|biotech|drug-discovery|machine-learning|platform-biology","https://www.abcellera.com","/bc-ai-directory/organizations/abcellera","2026-05-08"
